GENESIS-Tabelle: 33111-0004
Bodenfläche (tatsächliche Nutzung): Bundesländer, Stichtag;;;;;;;;;;;;;;;;;;
(bis 31.12.2015), Nutzungsarten;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;
Bodenfläche (qkm);;;;;;;;;;;;;;;;;;
;;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten;Nutzungsarten
;;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche;Betriebsfläche;Erholungsfläche;Erholungsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Flächen anderer Nutzung;Flächen anderer Nutzung;Flächen anderer Nutzung
;;Insgesamt;Gebäude- und Freifläche Wohnen;Gebäude- und Freifläche Gewerbe und Industrie;Insgesamt;Betriebsfläche Abbauland;Insgesamt;Grünanlage;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;Insgesamt;Insgesamt;Insgesamt;Friedhof;Unland
31.12.2015;Bremen;132,007;71,360;25,894;14,201;0,066;34,831;29,275;51,788;39,526;122,141;0,299;0,660;8,646;51,772;4,452;3,113;1,323
31.12.2015;Hamburg;287,618;164,601;45,010;6,330;0,221;56,073;53,569;90,297;71,808;184,631;0,337;6,671;56,427;63,286;10,537;7,942;2,227
31.12.2015;Hessen;1574,501;911,517;173,911;116,821;42,899;211,268;123,464;1435,002;1324,807;8844,938;0,714;1,058;8488,020;294,705;149,741;29,408;84,646
31.12.2015;Mecklenburg-Vorpommern;809,764;347,049;101,993;98,498;45,981;333,974;298,578;692,977;580,841;14441,519;28,626;16,792;5086,419;1444,759;304,633;12,824;245,006
31.12.2015;Niedersachsen;3567,488;2011,993;434,219;332,195;240,364;471,088;294,327;2486,744;2033,955;28459,345;549,839;168,220;10532,350;1109,955;656,690;42,919;606,979
31.12.2015;Nordrhein-Westfalen;4377,036;2309,134;538,105;402,794;196,327;708,273;490,649;2454,760;1955,549;16463,840;17,084;51,606;8877,645;661,550;166,622;81,550;65,446
31.12.2015;Rheinland-Pfalz;1190,155;621,085;146,617;109,159;46,107;342,230;265,224;1220,994;973,866;8242,575;0,711;1,724;8399,015;276,676;73,650;19,512;38,638
31.12.2015;Saarland;322,476;118,737;44,119;27,839;5,769;25,985;11,324;160,542;143,063;1100,121;0,022;1,107;873,703;26,126;32,960;6,465;17,253
31.12.2015;Sachsen;1282,190;858,220;218,350;291,080;225,660;259,610;111,030;807,660;684,880;10094,780;0,620;27,260;5032,600;427,330;254,140;17,340;236,800
31.12.2015;Sachsen-Anhalt;883,933;363,624;182,216;136,724;104,373;520,924;443,630;792,656;701,849;12546,670;1,080;140,249;5069,228;478,979;22,624;18,213;4,411
31.12.2015;Schleswig-Holstein;1107,093;674,611;109,767;89,289;45,190;178,189;99,302;699,351;618,765;11008,585;88,295;22,827;1672,287;805,927;242,278;13,330;226,892
31.12.2015;Thüringen;734,299;405,935;133,522;73,280;44,938;111,773;40,916;701,951;632,949;8880,189;0,348;1,943;5300,105;202,836;197,949;11,802;186,146
31.12.2015;Insgesamt;25076,644;13333,296;3443,042;2608,317;1558,709;4454,842;2914,826;18108,049;15730,237;184332,479;839,295;600,548;109514,612;8552,132;4762,032;377,249;4238,054
__________
"Die Begriffsbestimmungen sind dem ""Verzeichnis der flächen-
bezogenen Nutzungsarten im Liegenschaftskataster und ihrer
Begriffsbestimmungen"" (Stand: 1991) der Arbeitsgemeinschaft
der Vermessungsverwaltungen der Länder der Bundesrepublik
Deutschland (AdV-Nutzungsartenverzeichnis) entnommen.

Rheinland-Pfalz: einschließlich des gemeinschaftlichen
deutsch-luxemburgischen Hoheitsgebietes."
© Statistisches Bundesamt (Destatis), 2022
Stand: 06.06.2023 / 22:03:14
