1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5913000;Dortmund;vers.;872;547;325;9;6;3;50;33;17;59;39;20;59;39;20;64;45;19;619;379;240;71;45;26;690;424;266
------;Straftaten insgesamt;5913000;Dortmund;insg.;11,582;6,803;4,779;99;50;49;564;300;264;663;350;313;820;452;368;849;458;391;8,560;5,113;3,447;690;430;260;9,250;5,543;3,707
------;Straftaten insgesamt;14612000;Dresden;voll.;6,287;3,845;2,442;106;51;55;377;180;197;483;231;252;532;294;238;514;288;226;4,419;2,853;1,566;339;179;160;4,758;3,032;1,726
------;Straftaten insgesamt;14612000;Dresden;vers.;356;249;107;3;2;1;17;10;7;20;12;8;26;19;7;31;19;12;253;187;66;26;12;14;279;199;80
------;Straftaten insgesamt;14612000;Dresden;insg.;6,643;4,094;2,549;109;53;56;394;190;204;503;243;260;558;313;245;545;307;238;4,672;3,040;1,632;365;191;174;5,037;3,231;1,806
------;Straftaten insgesamt;5112000;Duisburg;voll.;7,451;3,962;3,489;117;65;52;588;318;270;705;383;322;559;279;280;467;214;253;5,238;2,808;2,430;482;278;204;5,720;3,086;2,634
------;Straftaten insgesamt;5112000;Duisburg;vers.;609;326;283;8;3;5;55;38;17;63;41;22;42;21;21;32;21;11;407;208;199;65;35;30;472;243;229
------;Straftaten insgesamt;5112000;Duisburg;insg.;8,060;4,288;3,772;125;68;57;643;356;287;768;424;344;601;300;301;499;235;264;5,645;3,016;2,629;547;313;234;6,192;3,329;2,863
------;Straftaten insgesamt;5111000;Düsseldorf;voll.;9,236;5,592;3,644;90;40;50;443;241;202;533;281;252;640;354;286;736;428;308;6,750;4,212;2,538;577;317;260;7,327;4,529;2,798
------;Straftaten insgesamt;5111000;Düsseldorf;vers.;666;438;228;9;5;4;51;25;26;60;30;30;38;20;18;51;26;25;458;326;132;59;36;23;517;362;155
------;Straftaten insgesamt;5111000;Düsseldorf;insg.;9,902;6,030;3,872;99;45;54;494;266;228;593;311;282;678;374;304;787;454;333;7,208;4,538;2,670;636;353;283;7,844;4,891;2,953
------;Straftaten insgesamt;16051000;Erfurt;voll.;3,029;1,912;1,117;24;11;13;172;99;73;196;110;86;189;104;85;283;174;109;2,174;1,417;757;187;107;80;2,361;1,524;837
------;Straftaten insgesamt;16051000;Erfurt;vers.;298;191;107;1;1;0;11;2;9;12;3;9;13;8;5;22;12;10;228;155;73;23;13;10;251;168;83
------;Straftaten insgesamt;16051000;Erfurt;insg.;3,327;2,103;1,224;25;12;13;183;101;82;208;113;95;202;112;90;305;186;119;2,402;1,572;830;210;120;90;2,612;1,692;920
------;Straftaten insgesamt;9562000;Erlangen;voll.;879;522;357;10;6;4;58;36;22;68;42;26;68;32;36;60;31;29;637;390;247;46;27;19;683;417;266
------;Straftaten insgesamt;9562000;Erlangen;vers.;74;47;27;2;2;0;3;3;0;5;5;0;7;3;4;7;4;3;47;29;18;8;6;2;55;35;20
